tipo_inmueble;precio_vivienda;barrio;sup_total ;area_construida;habitaciones;baños;lat;long;Precio_entorno;cant_hom;Estrato
Apartamento;560;San Antonio;130;130;4;3;3,44921;-76,5461;804,14;3;4
Casa;210;Aguablanca;104;100;3;2;3,451082;-76,51542;297;7;3
Casa;249;Aguablanca;252;252;5;3;3,451083;-76,51543;297;7;3
Casa;260;Aguablanca;250;250;5;3;3,451084;-76,51544;297;7;3
Casa;210;Aguablanca;150;150;3;2;3,4335;-76,51775;250;14;3
Casa;320;Aguablanca;150;150;3;2;3,4336;-76,51776;250;14;3
Casa;335;Aguablanca;333;333;7;4;3,4337;-76,51777;250;14;3
Casa;950;Aguacatal;284;284;3;5;3,4582598;-76,56258;1115;3;4
Apartamento;970;Aguacatal;175;175;3;5;3,45729;-76,5539;1185;3;4
Casa;1100;Aguacatal;350;350;3;5;3,4582591;-76,56251;1115;3;4
Apartamento;1150;Aguacatal;229;229;3;4;3,4582591;-76,562511;1115;3;4
Apartamento;1190;Aguacatal;230;230;3;4;3,4582591;-76,562512;1115;3;4
Apartamento;1350;Aguacatal;278;278;3;3;3,4575761;-76,558913;1115;3;4
Apartamento;96;Aguacatal;60;60;3;2;3,4575761;-76,558914;673,89;11;4
Apartamento;110;Aguacatal;63;63;3;2;3,4575762;-76,558915;673,89;11;4
Apartamento;115;Aguacatal;58;58;3;2;3,4575762;-76,558916;673,89;11;4
Apartamento;125;Aguacatal;71;71;2;2;3,4575762;-76,558917;673,89;11;4
Apartamento;130;Aguacatal;60;60;3;2;3,4575761;-76,55891;673,89;11;4
Apartamento;139;Aguacatal;60;60;2;2;3,4575762;-76,558918;673,89;11;4
Apartamento;140;Aguacatal;58;58;3;2;3,4575762;-76,558919;673,89;11;4
Apartamento;145;Aguacatal;45;45;2;2;3,4575762;-76,55892;673,89;11;4
Apartamento;150;Aguacatal;55;55;2;1;3,4575762;-76,558921;673,89;11;4
Apartamento;160;Aguacatal;54;54;2;2;3,4575762;-76,558922;673,89;11;4
Apartamento;170;Aguacatal;45;45;2;1;3,4575762;-76,558923;673,89;11;4
Apartamento;250;Aguacatal;80;80;3;2;3,4575762;-76,558924;673,89;11;4
Apartamento;680;Aguacatal;164;164;4;4;3,4575763;-76,558925;673,89;11;4
Apartamento;850;Aguacatal;190;190;3;4;3,4575763;-76,558926;673,89;11;4
Apartamento;895;Aguacatal;189;189;3;4;3,4575763;-76,558927;673,89;11;4
Apartamento;980;Aguacatal;174;174;3;5;3,4575763;-76,558928;673,89;11;4
Apartamento;980;Aguacatal;85;85;2;1;3,4575763;-76,558929;673,89;11;4
Casa;980;Aguacatal;250;250;4;5;3,4575763;-76,55893;673,89;11;4
Apartamento;1050;Aguacatal;216;216;3;4;3,4575763;-76,558931;673,89;11;4
Casa;1200;Aguacatal;200;200;3;3;3,4575763;-76,558932;673,89;11;4
Apartamento;1200;Aguacatal;400;400;4;4;3,4575763;-76,558933;673,89;11;4
Casa;1650;Aguacatal;392;392;3;4;3,4575763;-76,558934;673,89;11;4
Apartamento;1700;Aguacatal;325;325;4;6;3,3700244;-76,523435;673,89;11;4
Apartamento;1800;Aguacatal;370;370;3;6;3,3726034;-76,52536;673,89;11;4
Apartamento;1950;Aguacatal;393;380;4;5;3,4326444;-76,535837;673,89;11;4
Apartamento;235;Alameda;70;70;3;2;3,4326444;-76,535838;276,71;1;3
Apartamento;250;Alameda;82;82;3;3;3,4951834;-76,539;270,99;2;3
Casa;285;Alameda;126;123;3;2;3,4951834;-76,54;494,5;6;3
Casa;495;Alameda;286;286;5;2;3,4378894;-76,536841;494,5;6;3
Apartamento;127;Alameda;62;62;3;2;3,43721;-76,5371;202,14;10;3
Casa;215;Alameda;180;180;3;2;3,4370434;-76,534442;202,14;10;3
Casa;498;Alameda;313;313;6;3;3,4874774;-76,509243;372,67;10;3
Casa;400;Alameda;243;243;4;2;3,4874774;-76,509244;372,67;11;3
Apartamento;220;Alameda;175;163;5;2;3,4874775;-76,509245;372,67;13;3
Apartamento;138;Brisas De Los Alamos;58;58;2;2;3,489246;-76,50646;193,73;4;3
