tipo_inmueble;precio_vivienda;barrio;sup_total ;area_construida;habitaciones;baños;lat;long;Precio_entorno;cant_hom;Estrato
Apartamento;560;San Antonio;130;130;4;3;3,4492;-76,546;804,14;3;4
Casa;210;Aguablanca;104;100;3;2;3,45108;-76,5154;297,00;7;3
Casa;249;Aguablanca;252;252;5;3;3,45108;-76,5154;297,00;7;3
Casa;260;Aguablanca;250;250;5;3;3,45108;-76,5154;297,00;7;3
Casa;210;Aguablanca;150;150;3;2;3,433;-76,5177;250,00;14;3
Casa;320;Aguablanca;150;150;3;2;3,433;-76,5177;250,00;14;3
Casa;335;Aguablanca;333;333;7;4;3,433;-76,5177;250,00;14;3
Casa;950;Aguacatal;284;284;3;5;3,458259;-76,5625;1115,00;3;4
Apartamento;970;Aguacatal;175;175;3;5;3,4572;-76,553;1185,00;3;4
Casa;1100;Aguacatal;350;350;3;5;3,458259;-76,5625;1115,00;3;4
Apartamento;1150;Aguacatal;229;229;3;4;3,458259;-76,5625;1115,00;3;4
Apartamento;1190;Aguacatal;230;230;3;4;3,458259;-76,5625;1115,00;3;4
Apartamento;1350;Aguacatal;278;278;3;3;3,458259;-76,5625;1115,00;3;4
Apartamento;96;Aguacatal;60;60;3;2;3,457576;-76,5589;673,89;11;4
Apartamento;110;Aguacatal;63;63;3;2;3,457576;-76,5589;673,89;11;4
Apartamento;115;Aguacatal;58;58;3;2;3,457576;-76,5589;673,89;11;4
Apartamento;125;Aguacatal;71;71;2;2;3,457576;-76,5589;673,89;11;4
Apartamento;130;Aguacatal;60;60;3;2;3,457576;-76,5589;673,89;11;4
Apartamento;139;Aguacatal;60;60;2;2;3,457576;-76,5589;673,89;11;4
Apartamento;140;Aguacatal;58;58;3;2;3,457576;-76,5589;673,89;11;4
Apartamento;145;Aguacatal;45;45;2;2;3,457576;-76,5589;673,89;11;4
Apartamento;150;Aguacatal;55;55;2;1;3,457576;-76,5589;673,89;11;4
Apartamento;160;Aguacatal;54;54;2;2;3,457576;-76,5589;673,89;11;4
Apartamento;170;Aguacatal;45;45;2;1;3,457576;-76,5589;673,89;11;4
Apartamento;250;Aguacatal;80;80;3;2;3,457576;-76,5589;673,89;11;4
Apartamento;680;Aguacatal;164;164;4;4;3,457576;-76,5589;673,89;11;4
Apartamento;850;Aguacatal;190;190;3;4;3,457576;-76,5589;673,89;11;4
Apartamento;895;Aguacatal;189;189;3;4;3,457576;-76,5589;673,89;11;4
Apartamento;980;Aguacatal;174;174;3;5;3,457576;-76,5589;673,89;11;4
Apartamento;980;Aguacatal;85;85;2;1;3,457576;-76,5589;673,89;11;4
